"Bug_Id","Query_Reformulation_Type","Number_Of_Retrieved_Files"
"2","original-bug-report","410"
"2","replaced-query","127"
"2","query-expansion-1","410"
"8","original-bug-report","239"
"8","replaced-query","67"
"8","query-expansion-1","239"
"10","original-bug-report","425"
"10","replaced-query","424"
"10","query-expansion-1","425"
"11","original-bug-report","51"
"11","replaced-query","30"
"11","query-expansion-1","51"
"18","original-bug-report","221"
"18","replaced-query","166"
"18","query-expansion-1","221"
"19","original-bug-report","372"
"19","replaced-query","222"
"19","query-expansion-1","372"
"44","original-bug-report","164"
"44","replaced-query","163"
"44","query-expansion-1","164"
"45","original-bug-report","190"
"45","replaced-query","188"
"45","query-expansion-1","190"
"53","original-bug-report","116"
"53","replaced-query","108"
"53","query-expansion-1","116"
"54","original-bug-report","84"
"54","replaced-query","44"
"54","query-expansion-1","84"
"55","original-bug-report","80"
"55","query-expansion-1","80"
"56","original-bug-report","80"
"56","replaced-query","39"
"56","query-expansion-1","80"
"71","original-bug-report","126"
"71","replaced-query","51"
"71","query-expansion-1","126"
"76","original-bug-report","154"
"76","replaced-query","78"
"76","query-expansion-1","154"
"84","original-bug-report","144"
"84","replaced-query","62"
"84","query-expansion-1","144"
"87","original-bug-report","143"
"87","replaced-query","61"
"87","query-expansion-1","143"
"92","original-bug-report","274"
"92","replaced-query","113"
"92","query-expansion-1","274"
"106","original-bug-report","203"
"106","replaced-query","91"
"106","query-expansion-1","205"
"110","original-bug-report","214"
"110","query-expansion-1","214"
"117","original-bug-report","190"
"117","replaced-query","144"
"117","query-expansion-1","196"
"128","original-bug-report","49"
"128","replaced-query","26"
"128","query-expansion-1","49"
"129","original-bug-report","48"
"129","replaced-query","17"
"129","query-expansion-1","48"
"130","original-bug-report","47"
"130","replaced-query","16"
"130","query-expansion-1","47"
"135","original-bug-report","224"
"135","replaced-query","168"
"135","query-expansion-1","226"
"158","original-bug-report","260"
"158","replaced-query","119"
"158","query-expansion-1","263"
"159","original-bug-report","351"
"159","replaced-query","262"
"159","query-expansion-1","351"
"160","original-bug-report","330"
"160","query-expansion-1","330"
"162","original-bug-report","609"
"162","replaced-query","246"
"162","query-expansion-1","609"
"168","original-bug-report","785"
"168","query-expansion-1","785"
"191","original-bug-report","99"
"191","replaced-query","64"
"191","query-expansion-1","99"
"192","original-bug-report","90"
"192","replaced-query","42"
"192","query-expansion-1","90"
"193","original-bug-report","264"
"193","replaced-query","153"
"193","query-expansion-1","272"
"199","original-bug-report","116"
"199","replaced-query","88"
"199","query-expansion-1","131"
"200","original-bug-report","124"
"200","replaced-query","75"
"200","query-expansion-1","126"
"201","original-bug-report","132"
"201","replaced-query","81"
"201","query-expansion-1","132"
"206","original-bug-report","168"
"206","replaced-query","125"
"206","query-expansion-1","168"
"209","original-bug-report","177"
"209","replaced-query","125"
"209","query-expansion-1","177"
"227","original-bug-report","174"
"227","replaced-query","139"
"227","query-expansion-1","174"
"248","original-bug-report","521"
"248","replaced-query","199"
"248","query-expansion-1","521"
"256","original-bug-report","168"
"256","replaced-query","135"
"256","query-expansion-1","168"
"271","original-bug-report","121"
"271","query-expansion-1","121"
"275","original-bug-report","100"
"275","query-expansion-1","100"
"1028","original-bug-report","242"
"1028","replaced-query","150"
"1028","query-expansion-1","248"
"1073","original-bug-report","147"
"1073","replaced-query","90"
"1073","query-expansion-1","147"
"1089","original-bug-report","30"
"1089","replaced-query","30"
"1089","query-expansion-1","30"
"1096","original-bug-report","194"
"1096","replaced-query","145"
"1096","query-expansion-1","194"
"1130","original-bug-report","346"
"1130","replaced-query","146"
"1130","query-expansion-1","347"
"1146","original-bug-report","46"
"1146","replaced-query","33"
"1146","query-expansion-1","46"
"1147","original-bug-report","16"
"1147","replaced-query","12"
"1147","query-expansion-1","16"
"1150","original-bug-report","43"
"1150","replaced-query","25"
"1150","query-expansion-1","43"
"1151","original-bug-report","16"
"1151","replaced-query","12"
"1151","query-expansion-1","16"
"1198","original-bug-report","3"
"1198","replaced-query","3"
"1198","query-expansion-1","3"
"1202","original-bug-report","46"
"1202","replaced-query","29"
"1202","query-expansion-1","46"
"1205","original-bug-report","80"
"1205","replaced-query","51"
"1205","query-expansion-1","82"
"1207","original-bug-report","35"
"1207","replaced-query","13"
"1207","query-expansion-1","35"
"1213","original-bug-report","50"
"1213","query-expansion-1","50"
"1214","original-bug-report","50"
"1214","query-expansion-1","50"
"1215","original-bug-report","50"
"1215","query-expansion-1","50"
"1222","original-bug-report","166"
"1222","replaced-query","135"
"1222","query-expansion-1","166"
"1223","original-bug-report","173"
"1223","replaced-query","141"
"1223","query-expansion-1","173"
"1224","original-bug-report","167"
"1224","replaced-query","136"
"1224","query-expansion-1","167"
"1228","original-bug-report","175"
"1228","replaced-query","127"
"1228","query-expansion-1","175"
"1299","original-bug-report","84"
"1299","replaced-query","39"
"1299","query-expansion-1","84"
"1389","original-bug-report","17"
"1389","replaced-query","17"
"1389","query-expansion-1","17"
"1399","original-bug-report","159"
"1399","replaced-query","90"
"1399","query-expansion-1","171"
"1402","original-bug-report","155"
"1402","replaced-query","138"
"1402","query-expansion-1","167"
"1403","original-bug-report","142"
"1403","replaced-query","136"
"1403","query-expansion-1","162"
"1406","original-bug-report","154"
"1406","replaced-query","154"
"1406","query-expansion-1","169"
"1425","original-bug-report","98"
"1425","replaced-query","38"
"1425","query-expansion-1","98"
"1428","original-bug-report","90"
"1428","replaced-query","66"
"1428","query-expansion-1","90"
"1430","original-bug-report","96"
"1430","replaced-query","65"
"1430","query-expansion-1","96"
"1441","original-bug-report","132"
"1441","replaced-query","87"
"1441","query-expansion-1","132"
"1445","original-bug-report","92"
"1445","replaced-query","64"
"1445","query-expansion-1","97"
"1446","original-bug-report","131"
"1446","replaced-query","64"
"1446","query-expansion-1","131"
"1481","original-bug-report","18"
"1481","replaced-query","18"
"1481","query-expansion-1","21"
"1563","original-bug-report","33"
"1563","replaced-query","25"
"1563","query-expansion-1","33"
"1568","original-bug-report","51"
"1568","query-expansion-1","51"
"1640","original-bug-report","19"
"1640","query-expansion-1","19"
"1641","original-bug-report","37"
"1641","query-expansion-1","37"
"1645","original-bug-report","20"
"1645","query-expansion-1","20"
