Bug Report ID,FilePaths,File Source
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/common/abs/ActionBarSupport.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/common/changelog/ChangeLog.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/activities/DirectoryPickerActivity.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/activities/ExchangeRateEditActivity.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/activities/ParticipantEditActivity.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/activities/PaymentEditActivity.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/activities/PreferencesFragment.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/activities/TripEditActivity.java,All
8,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/export/impl/res/HtmlExportCharResolver.java,All
10,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/filejob/FileJobActionDialogActivity.java,All
10,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/filejob/FileJobActionDialogFragment.java,All
10,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/filejob/FileJobConflictDialogFragment.java,All
10,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/filejob/FileJobs.java,All
