"Bug_Id","Query_Reformulation_Type","Number_Of_Retrieved_Files"
"2","original-bug-report","2"
"2","replaced-query","2"
"2","query-expansion-1","2"
"8","original-bug-report","1"
"8","replaced-query","1"
"8","query-expansion-1","1"
"10","original-bug-report","4"
"10","replaced-query","4"
"10","query-expansion-1","4"
"11","original-bug-report","1"
"11","replaced-query","1"
"11","query-expansion-1","1"
"18","original-bug-report","4"
"18","replaced-query","4"
"18","query-expansion-1","4"
"19","original-bug-report","2"
"19","replaced-query","2"
"19","query-expansion-1","2"
"44","original-bug-report","2"
"44","replaced-query","2"
"44","query-expansion-1","2"
"45","original-bug-report","2"
"45","replaced-query","2"
"45","query-expansion-1","2"
"53","original-bug-report","5"
"53","replaced-query","5"
"53","query-expansion-1","5"
"54","original-bug-report","4"
"54","replaced-query","4"
"54","query-expansion-1","4"
"55","original-bug-report","0"
"55","query-expansion-1","0"
"56","original-bug-report","2"
"56","replaced-query","2"
"56","query-expansion-1","2"
"71","original-bug-report","2"
"71","replaced-query","2"
"71","query-expansion-1","2"
"76","original-bug-report","2"
"76","replaced-query","2"
"76","query-expansion-1","2"
"84","original-bug-report","1"
"84","replaced-query","1"
"84","query-expansion-1","1"
"87","original-bug-report","2"
"87","replaced-query","2"
"87","query-expansion-1","2"
"92","original-bug-report","1"
"92","replaced-query","1"
"92","query-expansion-1","1"
"106","original-bug-report","1"
"106","replaced-query","1"
"106","query-expansion-1","1"
"110","original-bug-report","0"
"110","query-expansion-1","0"
"117","original-bug-report","4"
"117","replaced-query","4"
"117","query-expansion-1","4"
"128","original-bug-report","1"
"128","replaced-query","1"
"128","query-expansion-1","1"
"129","original-bug-report","1"
"129","replaced-query","1"
"129","query-expansion-1","1"
"130","original-bug-report","1"
"130","replaced-query","1"
"130","query-expansion-1","1"
"135","original-bug-report","4"
"135","replaced-query","4"
"135","query-expansion-1","4"
"158","original-bug-report","3"
"158","replaced-query","3"
"158","query-expansion-1","3"
"159","original-bug-report","2"
"159","replaced-query","2"
"159","query-expansion-1","2"
"160","original-bug-report","0"
"160","query-expansion-1","0"
"162","original-bug-report","1"
"162","replaced-query","1"
"162","query-expansion-1","1"
"168","original-bug-report","0"
"168","query-expansion-1","0"
"191","original-bug-report","1"
"191","replaced-query","1"
"191","query-expansion-1","1"
"192","original-bug-report","2"
"192","replaced-query","2"
"192","query-expansion-1","2"
"193","original-bug-report","1"
"193","replaced-query","1"
"193","query-expansion-1","1"
"199","original-bug-report","2"
"199","replaced-query","2"
"199","query-expansion-1","2"
"200","original-bug-report","2"
"200","replaced-query","2"
"200","query-expansion-1","2"
"201","original-bug-report","3"
"201","replaced-query","3"
"201","query-expansion-1","3"
"206","original-bug-report","4"
"206","replaced-query","4"
"206","query-expansion-1","4"
"209","original-bug-report","2"
"209","replaced-query","2"
"209","query-expansion-1","2"
"227","original-bug-report","5"
"227","replaced-query","5"
"227","query-expansion-1","5"
"248","original-bug-report","2"
"248","replaced-query","2"
"248","query-expansion-1","2"
"256","original-bug-report","4"
"256","replaced-query","4"
"256","query-expansion-1","4"
"271","original-bug-report","0"
"271","query-expansion-1","0"
"275","original-bug-report","0"
"275","query-expansion-1","0"
"1028","original-bug-report","2"
"1028","replaced-query","2"
"1028","query-expansion-1","2"
"1073","original-bug-report","2"
"1073","replaced-query","2"
"1073","query-expansion-1","2"
"1089","original-bug-report","3"
"1089","replaced-query","3"
"1089","query-expansion-1","3"
"1096","original-bug-report","1"
"1096","replaced-query","1"
"1096","query-expansion-1","1"
"1130","original-bug-report","3"
"1130","replaced-query","3"
"1130","query-expansion-1","3"
"1146","original-bug-report","2"
"1146","replaced-query","2"
"1146","query-expansion-1","2"
"1147","original-bug-report","3"
"1147","replaced-query","3"
"1147","query-expansion-1","3"
"1150","original-bug-report","3"
"1150","replaced-query","3"
"1150","query-expansion-1","3"
"1151","original-bug-report","3"
"1151","replaced-query","3"
"1151","query-expansion-1","3"
"1198","original-bug-report","2"
"1198","replaced-query","2"
"1198","query-expansion-1","2"
"1202","original-bug-report","1"
"1202","replaced-query","1"
"1202","query-expansion-1","1"
"1205","original-bug-report","3"
"1205","replaced-query","3"
"1205","query-expansion-1","3"
"1207","original-bug-report","1"
"1207","replaced-query","1"
"1207","query-expansion-1","1"
"1213","original-bug-report","0"
"1213","query-expansion-1","0"
"1214","original-bug-report","0"
"1214","query-expansion-1","0"
"1215","original-bug-report","0"
"1215","query-expansion-1","0"
"1222","original-bug-report","4"
"1222","replaced-query","4"
"1222","query-expansion-1","4"
"1223","original-bug-report","6"
"1223","replaced-query","6"
"1223","query-expansion-1","6"
"1224","original-bug-report","5"
"1224","replaced-query","5"
"1224","query-expansion-1","5"
"1228","original-bug-report","4"
"1228","replaced-query","4"
"1228","query-expansion-1","4"
"1299","original-bug-report","2"
"1299","replaced-query","2"
"1299","query-expansion-1","2"
"1389","original-bug-report","2"
"1389","replaced-query","2"
"1389","query-expansion-1","2"
"1399","original-bug-report","1"
"1399","replaced-query","1"
"1399","query-expansion-1","1"
"1402","original-bug-report","3"
"1402","replaced-query","3"
"1402","query-expansion-1","3"
"1403","original-bug-report","2"
"1403","replaced-query","2"
"1403","query-expansion-1","2"
"1406","original-bug-report","4"
"1406","replaced-query","4"
"1406","query-expansion-1","4"
"1425","original-bug-report","1"
"1425","replaced-query","1"
"1425","query-expansion-1","1"
"1428","original-bug-report","4"
"1428","replaced-query","4"
"1428","query-expansion-1","4"
"1430","original-bug-report","3"
"1430","replaced-query","3"
"1430","query-expansion-1","3"
"1441","original-bug-report","2"
"1441","replaced-query","2"
"1441","query-expansion-1","2"
"1445","original-bug-report","2"
"1445","replaced-query","2"
"1445","query-expansion-1","2"
"1446","original-bug-report","2"
"1446","replaced-query","2"
"1446","query-expansion-1","2"
"1481","original-bug-report","3"
"1481","replaced-query","3"
"1481","query-expansion-1","3"
"1563","original-bug-report","1"
"1563","replaced-query","1"
"1563","query-expansion-1","1"
"1568","original-bug-report","0"
"1568","query-expansion-1","0"
"1640","original-bug-report","0"
"1640","query-expansion-1","0"
"1641","original-bug-report","0"
"1641","query-expansion-1","0"
"1645","original-bug-report","0"
"1645","query-expansion-1","0"
