"Bug_Id","Query_Reformulation_Type","Number_Of_Retrieved_Files"
"2","original-bug-report","185"
"2","replaced-query","68"
"2","query-expansion-1","185"
"8","original-bug-report","82"
"8","replaced-query","37"
"8","query-expansion-1","82"
"10","original-bug-report","236"
"10","replaced-query","236"
"10","query-expansion-1","236"
"11","original-bug-report","44"
"11","replaced-query","28"
"11","query-expansion-1","44"
"18","original-bug-report","126"
"18","replaced-query","100"
"18","query-expansion-1","126"
"19","original-bug-report","236"
"19","replaced-query","161"
"19","query-expansion-1","236"
"44","original-bug-report","102"
"44","replaced-query","101"
"44","query-expansion-1","102"
"45","original-bug-report","115"
"45","replaced-query","115"
"45","query-expansion-1","115"
"53","original-bug-report","74"
"53","replaced-query","70"
"53","query-expansion-1","74"
"54","original-bug-report","49"
"54","replaced-query","32"
"54","query-expansion-1","49"
"55","original-bug-report","54"
"55","query-expansion-1","54"
"56","original-bug-report","55"
"56","replaced-query","36"
"56","query-expansion-1","55"
"71","original-bug-report","86"
"71","replaced-query","45"
"71","query-expansion-1","86"
"76","original-bug-report","118"
"76","replaced-query","68"
"76","query-expansion-1","118"
"84","original-bug-report","108"
"84","replaced-query","56"
"84","query-expansion-1","108"
"87","original-bug-report","123"
"87","replaced-query","58"
"87","query-expansion-1","123"
"92","original-bug-report","95"
"92","replaced-query","65"
"92","query-expansion-1","95"
"106","original-bug-report","169"
"106","replaced-query","84"
"106","query-expansion-1","169"
"110","original-bug-report","177"
"110","query-expansion-1","177"
"117","original-bug-report","79"
"117","replaced-query","62"
"117","query-expansion-1","80"
"128","original-bug-report","35"
"128","replaced-query","24"
"128","query-expansion-1","35"
"129","original-bug-report","37"
"129","replaced-query","16"
"129","query-expansion-1","37"
"130","original-bug-report","33"
"130","replaced-query","14"
"130","query-expansion-1","33"
"135","original-bug-report","123"
"135","replaced-query","99"
"135","query-expansion-1","123"
"158","original-bug-report","147"
"158","replaced-query","101"
"158","query-expansion-1","149"
"159","original-bug-report","186"
"159","replaced-query","171"
"159","query-expansion-1","186"
"160","original-bug-report","179"
"160","query-expansion-1","179"
"162","original-bug-report","421"
"162","replaced-query","213"
"162","query-expansion-1","421"
"168","original-bug-report","364"
"168","query-expansion-1","364"
"191","original-bug-report","11"
"191","replaced-query","7"
"191","query-expansion-1","11"
"192","original-bug-report","54"
"192","replaced-query","36"
"192","query-expansion-1","54"
"193","original-bug-report","134"
"193","replaced-query","90"
"193","query-expansion-1","140"
"199","original-bug-report","102"
"199","replaced-query","84"
"199","query-expansion-1","116"
"200","original-bug-report","102"
"200","replaced-query","70"
"200","query-expansion-1","104"
"201","original-bug-report","120"
"201","replaced-query","78"
"201","query-expansion-1","120"
"206","original-bug-report","112"
"206","replaced-query","101"
"206","query-expansion-1","112"
"209","original-bug-report","89"
"209","replaced-query","74"
"209","query-expansion-1","89"
"227","original-bug-report","93"
"227","replaced-query","85"
"227","query-expansion-1","93"
"248","original-bug-report","237"
"248","replaced-query","141"
"248","query-expansion-1","237"
"256","original-bug-report","100"
"256","replaced-query","92"
"256","query-expansion-1","100"
"271","original-bug-report","51"
"271","query-expansion-1","51"
"275","original-bug-report","57"
"275","query-expansion-1","57"
"1028","original-bug-report","133"
"1028","replaced-query","101"
"1028","query-expansion-1","137"
"1073","original-bug-report","114"
"1073","replaced-query","82"
"1073","query-expansion-1","114"
"1089","original-bug-report","25"
"1089","replaced-query","25"
"1089","query-expansion-1","25"
"1096","original-bug-report","144"
"1096","replaced-query","114"
"1096","query-expansion-1","144"
"1130","original-bug-report","213"
"1130","replaced-query","124"
"1130","query-expansion-1","213"
"1146","original-bug-report","32"
"1146","replaced-query","23"
"1146","query-expansion-1","32"
"1147","original-bug-report","11"
"1147","replaced-query","11"
"1147","query-expansion-1","11"
"1150","original-bug-report","28"
"1150","replaced-query","18"
"1150","query-expansion-1","28"
"1151","original-bug-report","11"
"1151","replaced-query","11"
"1151","query-expansion-1","11"
"1198","original-bug-report","3"
"1198","replaced-query","3"
"1198","query-expansion-1","3"
"1202","original-bug-report","30"
"1202","replaced-query","21"
"1202","query-expansion-1","30"
"1205","original-bug-report","58"
"1205","replaced-query","46"
"1205","query-expansion-1","59"
"1207","original-bug-report","26"
"1207","replaced-query","12"
"1207","query-expansion-1","26"
"1213","original-bug-report","35"
"1213","query-expansion-1","35"
"1214","original-bug-report","35"
"1214","query-expansion-1","35"
"1215","original-bug-report","34"
"1215","query-expansion-1","34"
"1222","original-bug-report","93"
"1222","replaced-query","87"
"1222","query-expansion-1","93"
"1223","original-bug-report","90"
"1223","replaced-query","82"
"1223","query-expansion-1","90"
"1224","original-bug-report","94"
"1224","replaced-query","87"
"1224","query-expansion-1","94"
"1228","original-bug-report","87"
"1228","replaced-query","72"
"1228","query-expansion-1","87"
"1299","original-bug-report","53"
"1299","replaced-query","36"
"1299","query-expansion-1","53"
"1389","original-bug-report","15"
"1389","replaced-query","15"
"1389","query-expansion-1","15"
"1399","original-bug-report","115"
"1399","replaced-query","76"
"1399","query-expansion-1","121"
"1402","original-bug-report","108"
"1402","replaced-query","100"
"1402","query-expansion-1","113"
"1403","original-bug-report","104"
"1403","replaced-query","103"
"1403","query-expansion-1","114"
"1406","original-bug-report","115"
"1406","replaced-query","116"
"1406","query-expansion-1","121"
"1425","original-bug-report","68"
"1425","replaced-query","29"
"1425","query-expansion-1","68"
"1428","original-bug-report","63"
"1428","replaced-query","54"
"1428","query-expansion-1","63"
"1430","original-bug-report","63"
"1430","replaced-query","47"
"1430","query-expansion-1","63"
"1441","original-bug-report","89"
"1441","replaced-query","71"
"1441","query-expansion-1","89"
"1445","original-bug-report","71"
"1445","replaced-query","55"
"1445","query-expansion-1","76"
"1446","original-bug-report","88"
"1446","replaced-query","57"
"1446","query-expansion-1","88"
"1481","original-bug-report","9"
"1481","replaced-query","9"
"1481","query-expansion-1","10"
"1563","original-bug-report","16"
"1563","replaced-query","13"
"1563","query-expansion-1","16"
"1568","original-bug-report","16"
"1568","query-expansion-1","16"
"1640","original-bug-report","14"
"1640","query-expansion-1","14"
"1641","original-bug-report","16"
"1641","query-expansion-1","16"
"1645","original-bug-report","10"
"1645","query-expansion-1","10"
