Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,2,1.375,32,33,0.2875,0.4,0.4,32,0.3625,0.4,0.4,0.37749999999999995,0.3375,0.27520833333333333,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,None,None,3,1.6470588235294117,34,35,0.275,0.425,0.425,34,0.375,0.425,0.425,0.395,0.33125,0.2673660714285714,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,None,None,4,1.7222222222222223,36,38,0.2875,0.45,0.45,36,0.3958333333333333,0.45,0.45,0.4175,0.34624999999999995,0.2865327380952381,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,2,6.0,17,17,0.1375,0.175,0.1875,15,0.16666666666666666,0.1875,0.2,0.1775,0.1587561274509804,0.13594362745098038,"['18', '19', '206', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,3,6.03125,32,42,0.2375,0.325,0.35,28,0.30416666666666664,0.3625,0.375,0.32999999999999996,0.2842950068106145,0.23745100879474146,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,4,6.0,35,45,0.2625,0.3375,0.3875,31,0.32916666666666666,0.4,0.4125,0.36000000000000004,0.30628364317425083,0.25179880757334383,"['18', '19', '53', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,2,4.0,36,37,0.275,0.4,0.425,34,0.3666666666666667,0.425,0.4375,0.3925,0.3277144607843137,0.26948529411764705,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,3,4.795918367346939,49,61,0.3375,0.525,0.5625,45,0.47500000000000003,0.575,0.5875,0.5175,0.4194086431742508,0.3618290526259103,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,4,5.019607843137255,51,64,0.3375,0.5125,0.5875,47,0.4791666666666667,0.6,0.6125,0.53,0.4184951816357893,0.3572542567620519,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,All_GUI_Component_IDs,NO,None,None,2,8.873417721518987,79,128,0.4,0.6375,0.7125,57,0.5833333333333334,0.7875,0.8625,0.68,0.5171271263233379,0.42772925125696215,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
