Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,2,1.3125,32,33,0.275,0.4,0.4,32,0.3583333333333334,0.4,0.4,0.375,0.3375,0.27989583333333334,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,None,None,3,1.3823529411764706,34,35,0.3,0.425,0.425,34,0.3833333333333333,0.425,0.425,0.4,0.3572916666666667,0.2803794642857143,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,None,None,4,1.4444444444444444,36,38,0.3125,0.45,0.45,36,0.4041666666666666,0.45,0.45,0.4225,0.3729166666666667,0.30017113095238096,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,2,7.111111111111111,18,18,0.1375,0.1875,0.2,16,0.17500000000000002,0.2,0.2,0.185,0.16181040243540243,0.13886168448668448,"['18', '19', '206', '256', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,3,5.2727272727272725,33,43,0.2625,0.3375,0.375,30,0.325,0.3875,0.3875,0.35,0.3028520691020691,0.25387718547874794,"['18', '19', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '110', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,4,4.972222222222222,36,46,0.3,0.375,0.4125,33,0.3625,0.425,0.425,0.3875,0.3402032595782596,0.28081170928827176,"['18', '19', '53', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '110', '1406']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,2,4.4324324324324325,37,38,0.2875,0.4125,0.4375,35,0.37916666666666665,0.4375,0.4375,0.4025,0.3463937357687358,0.2895908511533512,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,3,4.14,50,62,0.375,0.55,0.5875,47,0.5041666666666668,0.6,0.6,0.5425000000000001,0.4531886075636075,0.38523802949584196,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,4,4.153846153846154,52,65,0.3875,0.575,0.6125,49,0.525,0.625,0.625,0.5650000000000001,0.46701873576873576,0.3935622053200178,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '1406', '1150']"
Filtering,All_GUI_Component_IDs,NO,None,None,2,7.1125,80,129,0.425,0.75,0.825,66,0.6666666666666666,0.9125,0.9125,0.765,0.5682654570821384,0.491203760276982,"['2', '8', '10', '18', '19', '44', '53', '128', '129', '130', '135', '191', '209', '1073', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '87', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640', '1150']"
