Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,2,1.40625,32,33,0.25,0.4,0.4,32,0.35000000000000003,0.4,0.4,0.37,0.3229166666666667,0.2655729166666666,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,None,None,3,1.5294117647058822,34,35,0.25,0.425,0.425,34,0.3666666666666667,0.425,0.425,0.39,0.32916666666666666,0.25746279761904767,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,None,None,4,1.6388888888888888,36,38,0.2375,0.45,0.45,36,0.37916666666666665,0.45,0.45,0.40750000000000003,0.33125,0.2637127976190476,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,2,5.277777777777778,18,18,0.1375,0.1875,0.2125,17,0.17916666666666667,0.2125,0.2125,0.1925,0.16276512041598248,0.14151152846195952,"['18', '19', '206', '256', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '168', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,3,3.8484848484848486,33,43,0.25,0.3625,0.4,32,0.3375000000000001,0.4,0.4,0.3625,0.3040151204159825,0.26231261973180076,"['18', '19', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '110', '168', '1406', '45']"
Filtering,Interacted_GUI_Component_IDs,NO,None,None,4,3.8055555555555554,36,46,0.25,0.3875,0.4375,35,0.35833333333333334,0.4375,0.4375,0.39,0.3175567870826492,0.26896192528735635,"['18', '19', '53', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '110', '168', '1406', '45']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,2,3.7837837837837838,37,38,0.225,0.4125,0.45,36,0.3625,0.45,0.45,0.39749999999999996,0.3102651204159825,0.25750111179529284,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '168', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,3,3.4,50,62,0.2875,0.575,0.6125,49,0.4916666666666667,0.6125,0.6125,0.54,0.4096401204159825,0.3519480363984674,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '45', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,None,4,3.5,52,65,0.275,0.5875,0.6375,51,0.5,0.6375,0.6375,0.555,0.4054734537493158,0.34558440003483104,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '45', '1150']"
Filtering,All_GUI_Component_IDs,NO,None,None,2,10.2125,80,129,0.2375,0.5875,0.7625,61,0.5291666666666667,0.825,0.8625,0.6549999999999999,0.401911587749595,0.35244716306174706,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1073', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
Filtering,All_GUI_Component_IDs,NO,None,None,3,10.325,80,130,0.2375,0.5875,0.7375,59,0.5208333333333334,0.825,0.8625,0.65,0.40027812397874074,0.35117677939190484,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
Filtering,All_GUI_Component_IDs,NO,None,None,4,10.35,80,130,0.2375,0.575,0.7375,59,0.5166666666666667,0.825,0.8625,0.6475,0.3998604696382435,0.3508171602133566,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
