Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,All_GUI_Component_IDs,NO,None,None,3,13.275,80,130,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.3472929401485488,0.3055489222017253,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,All_GUI_Component_IDs,NO,None,None,4,13.2875,80,130,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.3472922281412578,0.30554511820421215,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,2,13.1375,80,129,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.3436293528247916,0.30361876189000003,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,13.3,80,130,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.347260614640017,0.3055111422040434,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,4,13.3125,80,131,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.34725990263272605,0.3061323382065303,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_States,NO,GUI_States,None,2,1.25,32,33,0.3,0.4,0.4,32,0.3666666666666667,0.4,0.4,0.38,0.35,0.29489583333333336,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,GUI_States,None,3,1.3823529411764706,34,35,0.3,0.425,0.425,34,0.3833333333333333,0.425,0.425,0.4,0.35625,0.2860565476190476,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,GUI_States,None,4,1.4722222222222223,36,38,0.3,0.45,0.45,36,0.39999999999999997,0.45,0.45,0.42000000000000004,0.3645833333333333,0.2985565476190476,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,2,7.111111111111111,18,18,0.1625,0.175,0.2,16,0.1791666666666667,0.2,0.2,0.1875,0.17289862073560766,0.1469720038201848,"['18', '19', '206', '256', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,3,6.121212121212121,33,43,0.2375,0.325,0.375,30,0.3125,0.375,0.375,0.3375,0.289044454068941,0.25724792147891495,"['18', '19', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '1406', '45']"
