bugID,filename,rank,score
1641,com.german_software_engineers.trainerappmodel.Legacy.Schedule.java,0,0.8
1641,com.german_software_engineers.trainerappmodel.Model.XMLParser.java,2,0.46537516
1641,com.german_software_engineers.trainerappmodel.Enumerations.TrainingsTypes.java,20,0.0
