Row ID,Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
41,Filtering,All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,10.4875,80,130,0.25,0.6,0.75,60,0.5333333333333333,0.8,0.875,0.655,0.4216560236816749,0.369756709390795,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '135', '191', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
44,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,10.4875,80,131,0.25,0.6,0.75,60,0.5333333333333333,0.8,0.875,0.655,0.4216560236816749,0.3703519474860332,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '135', '191', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
159,Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,14.975,80,129,0.225,0.6,0.7,56,0.5083333333333333,0.775,0.85,0.63,0.3834420240593479,0.329547812596588,"['2', '8', '18', '19', '53', '117', '128', '129', '130', '135', '191', '1202', '1205', '1207', '1214', '1215', '1224', '1399', '1430', '1441', '1481', '76', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640', '1150']"
162,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,14.9875,80,129,0.225,0.6,0.7,56,0.5083333333333333,0.775,0.85,0.63,0.3834054743517455,0.3294783681521435,"['2', '8', '18', '19', '53', '117', '128', '129', '130', '135', '191', '1202', '1205', '1207', '1214', '1215', '1224', '1399', '1430', '1441', '1481', '76', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640', '1150']"
172,Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,3,9.7,80,142,0.3,0.7125,0.8375,67,0.6166666666666667,0.8625,0.875,0.7175,0.4728377319353777,0.4328692624262208,"['2', '8', '18', '19', '44', '53', '117', '128', '129', '130', '135', '191', '206', '209', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '45', '1640', '1150']"
173,Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,4,9.9875,80,142,0.2875,0.6875,0.8375,67,0.6041666666666666,0.8625,0.875,0.71,0.4583945150442441,0.4160287367769067,"['2', '8', '18', '19', '44', '53', '117', '128', '129', '130', '135', '191', '206', '209', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '45', '1640', '1150']"
232,Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,3,11.1875,80,142,0.3125,0.6875,0.8375,67,0.6124999999999999,0.8375,0.8375,0.7024999999999999,0.4697797415618007,0.4243265943605828,"['2', '8', '18', '19', '44', '53', '117', '128', '129', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '45', '1640', '1150']"
233,Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,4,11.5,80,142,0.275,0.6875,0.8375,67,0.6,0.8375,0.8375,0.6950000000000001,0.4469366886099463,0.4119107759033198,"['2', '8', '18', '19', '44', '53', '117', '128', '129', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '45', '1640', '1150']"
322,Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,GUI_State_and_All_GUI_Component_IDs,3,14.0,80,142,0.3625,0.6375,0.7375,59,0.5791666666666667,0.775,0.825,0.6675000000000001,0.4867773947489102,0.4283150360223502,"['2', '8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640', '1150']"
323,Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,GUI_State_and_All_GUI_Component_IDs,4,14.675,80,142,0.2875,0.6125,0.7375,59,0.5458333333333334,0.775,0.8125,0.645,0.4365233052403384,0.4036774136087149,"['2', '8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '227', '1213', '1428', '159', '193', '275', '1089', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640', '1150']"
