Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Number of Identified Bugs,Number of identified buggy files,Hit@10,Number of hits@10
QueryReformulation,NO,NO,None,None,2,80,142,0.8,64
QueryReformulation,NO,NO,None,None,3,80,142,0.8,64
QueryReformulation,NO,NO,None,None,4,80,142,0.8,64
QueryReformulation,NO,NO,GUI_States,None,2,80,142,0.8375,67
QueryReformulation,NO,NO,GUI_States,None,3,80,142,0.8375,67
QueryReformulation,NO,NO,GUI_States,None,4,80,142,0.85,68
QueryReformulation,NO,NO,Interacted_GUI_Component_IDs,None,2,80,142,0.8375,67
QueryReformulation,NO,NO,Interacted_GUI_Component_IDs,None,3,80,142,0.85,68
QueryReformulation,NO,NO,Interacted_GUI_Component_IDs,None,4,80,142,0.8375,67
QueryReformulation,NO,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.8375,67
QueryReformulation,NO,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.8375,67
QueryReformulation,NO,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.85,68
QueryReformulation,NO,NO,All_GUI_Component_IDs,None,2,80,142,0.85,68
QueryReformulation,NO,NO,All_GUI_Component_IDs,None,3,80,142,0.8125,65
QueryReformulation,NO,NO,All_GUI_Component_IDs,None,4,80,142,0.8125,65
QueryReformulation,NO,NO,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.85,68
QueryReformulation,NO,NO,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.8375,67
QueryReformulation,NO,NO,GUI_State_and_All_GUI_Component_IDs,None,4,80,142,0.825,66
QueryReformulation,NO,NO,None,GUI_States,2,67,112,0.5625,45
QueryReformulation,NO,NO,None,GUI_States,3,67,116,0.575,46
QueryReformulation,NO,NO,None,GUI_States,4,67,116,0.55,44
QueryReformulation,NO,NO,None,Interacted_GUI_Component_IDs,2,57,68,0.3375,27
QueryReformulation,NO,NO,None,Interacted_GUI_Component_IDs,3,72,104,0.4625,37
QueryReformulation,NO,NO,None,Interacted_GUI_Component_IDs,4,77,115,0.475,38
QueryReformulation,NO,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,77,128,0.6875,55
QueryReformulation,NO,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,79,133,0.7125,57
QueryReformulation,NO,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,80,135,0.7,56
QueryReformulation,NO,NO,None,All_GUI_Component_IDs,2,80,141,0.75,60
QueryReformulation,NO,NO,None,All_GUI_Component_IDs,3,80,141,0.7375,59
QueryReformulation,NO,NO,None,All_GUI_Component_IDs,4,80,141,0.7375,59
QueryReformulation,NO,NO,None,GUI_State_and_All_GUI_Component_IDs,2,80,141,0.75,60
QueryReformulation,NO,NO,None,GUI_State_and_All_GUI_Component_IDs,3,80,141,0.75,60
QueryReformulation,NO,NO,None,GUI_State_and_All_GUI_Component_IDs,4,80,141,0.75,60
