"Bug Id","Ranks(unsorted)","Ranks","Ranked Buggy Files"
"2","[5.0,14.0]","[5,14]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java]"
"8","[3.0]","[3]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java]"
"10","[88.0,43.0,52.0]","[43,52,88]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java]"
"11","[10.0,12.0,9.0,1.0,7.0,6.0,18.0]","[1,6,7,9,10,12,18]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/PlayActivity.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicDockFragment.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/HomeFragment.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SplashActivity.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SongsManager.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicPlayback.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/QueueFragment.java]"
"18","[38.0,12.0,1.0]","[1,12,38]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java]"
"19","[5.0]","[5]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java]"
"44","[55.0]","[55]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java]"
"45","[116.0]","[116]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java]"
"53","[14.0]","[14]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java]"
"54","[8.0]","[8]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-54/app/src/main/java/net/gsantner/markor/util/AppSettings.java]"
"55","[15.0,9.0]","[9,15]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-55/app/src/main/java/com/fieldbook/tracker/traits/MultiCatTraitLayout.java,/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-55/app/src/main/java/com/fieldbook/tracker/traits/CategoricalTraitLayout.java]"
