"Bug_Id","Query_Reformulation_Type","Number_Of_Retrieved_Files"
"2","original-bug-report","187"
"2","replaced-query","70"
"2","query-expansion-1","187"
"8","original-bug-report","83"
"8","replaced-query","38"
"8","query-expansion-1","83"
"10","original-bug-report","240"
"10","replaced-query","240"
"10","query-expansion-1","240"
"11","original-bug-report","45"
"11","replaced-query","29"
"11","query-expansion-1","45"
"18","original-bug-report","130"
"18","replaced-query","104"
"18","query-expansion-1","130"
"19","original-bug-report","238"
"19","replaced-query","163"
"19","query-expansion-1","238"
"44","original-bug-report","104"
"44","replaced-query","103"
"44","query-expansion-1","104"
"45","original-bug-report","117"
"45","replaced-query","117"
"45","query-expansion-1","117"
"53","original-bug-report","79"
"53","replaced-query","75"
"53","query-expansion-1","79"
"54","original-bug-report","53"
"54","replaced-query","36"
"54","query-expansion-1","53"
"55","original-bug-report","54"
"55","query-expansion-1","54"
"56","original-bug-report","57"
"56","replaced-query","38"
"56","query-expansion-1","57"
"71","original-bug-report","88"
"71","replaced-query","47"
"71","query-expansion-1","88"
"76","original-bug-report","120"
"76","replaced-query","70"
"76","query-expansion-1","120"
"84","original-bug-report","109"
"84","replaced-query","57"
"84","query-expansion-1","109"
"87","original-bug-report","125"
"87","replaced-query","60"
"87","query-expansion-1","125"
"92","original-bug-report","96"
"92","replaced-query","66"
"92","query-expansion-1","96"
"106","original-bug-report","170"
"106","replaced-query","85"
"106","query-expansion-1","170"
"110","original-bug-report","177"
"110","query-expansion-1","177"
"117","original-bug-report","83"
"117","replaced-query","66"
"117","query-expansion-1","84"
"128","original-bug-report","36"
"128","replaced-query","25"
"128","query-expansion-1","36"
"129","original-bug-report","38"
"129","replaced-query","17"
"129","query-expansion-1","38"
"130","original-bug-report","34"
"130","replaced-query","15"
"130","query-expansion-1","34"
"135","original-bug-report","127"
"135","replaced-query","103"
"135","query-expansion-1","127"
"158","original-bug-report","150"
"158","replaced-query","104"
"158","query-expansion-1","152"
"159","original-bug-report","188"
"159","replaced-query","173"
"159","query-expansion-1","188"
"160","original-bug-report","179"
"160","query-expansion-1","179"
"162","original-bug-report","422"
"162","replaced-query","214"
"162","query-expansion-1","422"
"168","original-bug-report","364"
"168","query-expansion-1","364"
"191","original-bug-report","12"
"191","replaced-query","8"
"191","query-expansion-1","12"
"192","original-bug-report","56"
"192","replaced-query","38"
"192","query-expansion-1","56"
"193","original-bug-report","135"
"193","replaced-query","91"
"193","query-expansion-1","141"
"199","original-bug-report","104"
"199","replaced-query","86"
"199","query-expansion-1","118"
"200","original-bug-report","104"
"200","replaced-query","72"
"200","query-expansion-1","106"
"201","original-bug-report","123"
"201","replaced-query","81"
"201","query-expansion-1","123"
"206","original-bug-report","116"
"206","replaced-query","105"
"206","query-expansion-1","116"
"209","original-bug-report","91"
"209","replaced-query","76"
"209","query-expansion-1","91"
"227","original-bug-report","98"
"227","replaced-query","90"
"227","query-expansion-1","98"
"248","original-bug-report","239"
"248","replaced-query","143"
"248","query-expansion-1","239"
"256","original-bug-report","104"
"256","replaced-query","96"
"256","query-expansion-1","104"
"271","original-bug-report","51"
"271","query-expansion-1","51"
"275","original-bug-report","57"
"275","query-expansion-1","57"
"1028","original-bug-report","135"
"1028","replaced-query","103"
"1028","query-expansion-1","139"
"1073","original-bug-report","116"
"1073","replaced-query","84"
"1073","query-expansion-1","116"
"1089","original-bug-report","28"
"1089","replaced-query","28"
"1089","query-expansion-1","28"
"1096","original-bug-report","145"
"1096","replaced-query","115"
"1096","query-expansion-1","145"
"1130","original-bug-report","216"
"1130","replaced-query","127"
"1130","query-expansion-1","216"
"1146","original-bug-report","34"
"1146","replaced-query","25"
"1146","query-expansion-1","34"
"1147","original-bug-report","14"
"1147","replaced-query","14"
"1147","query-expansion-1","14"
"1150","original-bug-report","31"
"1150","replaced-query","21"
"1150","query-expansion-1","31"
"1151","original-bug-report","14"
"1151","replaced-query","14"
"1151","query-expansion-1","14"
"1198","original-bug-report","5"
"1198","replaced-query","5"
"1198","query-expansion-1","5"
"1202","original-bug-report","31"
"1202","replaced-query","22"
"1202","query-expansion-1","31"
"1205","original-bug-report","61"
"1205","replaced-query","49"
"1205","query-expansion-1","62"
"1207","original-bug-report","27"
"1207","replaced-query","13"
"1207","query-expansion-1","27"
"1213","original-bug-report","35"
"1213","query-expansion-1","35"
"1214","original-bug-report","35"
"1214","query-expansion-1","35"
"1215","original-bug-report","34"
"1215","query-expansion-1","34"
"1222","original-bug-report","97"
"1222","replaced-query","91"
"1222","query-expansion-1","97"
