Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Number of Identified Bugs,Number of identified buggy files,Hit@10,Number of hits@10
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_States,3,25,31,0.2875,23
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_States,4,28,34,0.325,26
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_States,2,35,35,0.4125,33
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_States,3,42,50,0.5,40
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_States,4,44,53,0.525,42
Filtering,All_GUI_Component_IDs,NO,None,GUI_States,2,67,103,0.5875,47
Filtering,All_GUI_Component_IDs,NO,None,GUI_States,3,67,107,0.6,48
Filtering,All_GUI_Component_IDs,NO,None,GUI_States,4,67,107,0.575,46
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_States,2,67,103,0.5875,47
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_States,3,67,107,0.6,48
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_States,4,67,108,0.575,46
Filtering,GUI_States,NO,None,Interacted_GUI_Component_IDs,2,23,22,0.275,22
Filtering,GUI_States,NO,None,Interacted_GUI_Component_IDs,3,32,31,0.375,30
Filtering,GUI_States,NO,None,Interacted_GUI_Component_IDs,4,35,34,0.4125,33
Filtering,Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,18,18,0.175,14
Filtering,Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,33,43,0.3375,27
Filtering,Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,36,46,0.3625,29
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,28,27,0.275,22
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,48,58,0.5,40
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,51,61,0.525,42
Filtering,All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,57,67,0.35,28
Filtering,All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,72,99,0.4875,39
Filtering,All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,77,109,0.5,40
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,57,67,0.35,28
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,72,99,0.4875,39
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,77,110,0.5,40
Filtering,GUI_States,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,32,33,0.4,32
Filtering,GUI_States,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,34,35,0.425,34
Filtering,GUI_States,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,18,18,0.2,16
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,33,43,0.3625,29
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,36,46,0.3875,31
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,37,38,0.4375,35
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,50,62,0.5625,45
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,52,65,0.5875,47
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,77,119,0.6875,55
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,79,124,0.725,58
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,80,126,0.725,58
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,77,119,0.6875,55
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,79,124,0.725,58
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,80,127,0.725,58
Filtering,GUI_States,NO,None,All_GUI_Component_IDs,2,32,33,0.4,32
Filtering,GUI_States,NO,None,All_GUI_Component_IDs,3,34,35,0.425,34
Filtering,GUI_States,NO,None,All_GUI_Component_IDs,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,18,18,0.2,16
Filtering,Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,33,43,0.3625,29
Filtering,Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,36,46,0.3875,31
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,37,38,0.4375,35
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,50,62,0.575,46
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,52,65,0.5875,47
Filtering,All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,80,129,0.725,58
Filtering,All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,80,130,0.7375,59
Filtering,All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,80,130,0.725,58
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,80,129,0.725,58
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,80,130,0.7375,59
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,80,131,0.7375,59
Filtering,GUI_States,NO,None,GUI_State_and_All_GUI_Component_IDs,2,32,33,0.4,32
Filtering,GUI_States,NO,None,GUI_State_and_All_GUI_Component_IDs,3,34,35,0.425,34
Filtering,GUI_States,NO,None,GUI_State_and_All_GUI_Component_IDs,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,18,18,0.2,16
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,33,43,0.3625,29
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,36,46,0.3875,31
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,37,38,0.4375,35
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,50,62,0.575,46
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,52,65,0.5875,47
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,80,129,0.75,60
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,80,130,0.75,60
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,80,130,0.7375,59
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,80,129,0.75,60
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,80,130,0.75,60
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,80,131,0.7375,59
Boosting,NO,GUI_States,None,None,2,80,142,0.8625,69
Boosting,NO,GUI_States,None,None,3,80,142,0.8625,69
Boosting,NO,GUI_States,None,None,4,80,142,0.875,70
Boosting,NO,Interacted_GUI_Component_IDs,None,None,2,80,142,0.7875,63
Boosting,NO,Interacted_GUI_Component_IDs,None,None,3,80,142,0.8125,65
Boosting,NO,Interacted_GUI_Component_IDs,None,None,4,80,142,0.8125,65
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,2,80,142,0.8375,67
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,3,80,142,0.85,68
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,4,80,142,0.85,68
Boosting,NO,All_GUI_Component_IDs,None,None,2,80,142,0.825,66
Boosting,NO,All_GUI_Component_IDs,None,None,3,80,142,0.8375,67
Boosting,NO,All_GUI_Component_IDs,None,None,4,80,142,0.8375,67
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,None,None,2,80,142,0.825,66
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,None,None,3,80,142,0.8375,67
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,None,None,4,80,142,0.8375,67
Boosting,NO,GUI_States,GUI_States,None,2,80,142,0.85,68
Boosting,NO,GUI_States,GUI_States,None,3,80,142,0.8625,69
Boosting,NO,GUI_States,GUI_States,None,4,80,142,0.875,70
Boosting,NO,Interacted_GUI_Component_IDs,GUI_States,None,2,80,142,0.7875,63
Boosting,NO,Interacted_GUI_Component_IDs,GUI_States,None,3,80,142,0.8125,65
Boosting,NO,Interacted_GUI_Component_IDs,GUI_States,None,4,80,142,0.8125,65
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_States,None,2,80,142,0.8375,67
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_States,None,3,80,142,0.85,68
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_States,None,4,80,142,0.85,68
Boosting,NO,All_GUI_Component_IDs,GUI_States,None,2,80,142,0.8375,67
Boosting,NO,All_GUI_Component_IDs,GUI_States,None,3,80,142,0.85,68
Boosting,NO,All_GUI_Component_IDs,GUI_States,None,4,80,142,0.8625,69
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_States,None,2,80,142,0.8375,67
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_States,None,3,80,142,0.85,68
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_States,None,4,80,142,0.8625,69
Boosting,NO,GUI_States,Interacted_GUI_Component_IDs,None,2,80,142,0.8625,69
Boosting,NO,GUI_States,Interacted_GUI_Component_IDs,None,3,80,142,0.8625,69
Boosting,NO,GUI_States,Interacted_GUI_Component_IDs,None,4,80,142,0.875,70
Boosting,NO,Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.7875,63
Boosting,NO,Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.8,64
Boosting,NO,Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.8,64
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.8375,67
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.8375,67
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.8375,67
Boosting,NO,All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.875,70
Boosting,NO,All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.85,68
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.875,70
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.85,68
Boosting,NO,GUI_States,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,GUI_States,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.85,68
Boosting,NO,GUI_States,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.8625,69
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.8,64
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.8,64
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.8,64
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.8375,67
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.8375,67
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.8375,67
