,Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List,BugLocator HIT@10,BugLocator Avg HIT Between 1 and 5,SentenceBERT HIT@10,SentenceBERT Avg HIT Between 1 and 5,UnixCoder HIT@10,UnixCoder Avg HIT Between 1 and 5,Lucene HIT@10,Lucene Avg HIT Between 1 and 5,Average All Config HIT@10,Average All Config Avg HIT Between 1 and 5,BugLocator Rank,SentenceBERT Rank,UnixCoder Rank,Lucene Rank,Average All Config Rank
10,Filtering,All_GUI_Component_IDs,NO,None,None,3,8.721518987341772,79,129,0.4,0.65,0.725,58,0.5916666666666667,0.7875,0.8625,0.6849999999999999,0.5189240339570054,0.4256707679365544,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.725,0.525,0.7375,0.4125,0.7,0.39375,0.8375,0.575,0.7499999999999999,0.4765625,92.0,75.0,110.0,34.0,155.0
11,Filtering,All_GUI_Component_IDs,NO,None,None,4,8.79746835443038,79,129,0.4,0.6375,0.725,58,0.5875,0.7875,0.8625,0.6825000000000001,0.5182008530283448,0.425215522894441,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.725,0.51875,0.7375,0.40625,0.7,0.39375,0.8375,0.575,0.7499999999999999,0.4734375,93.0,76.0,110.0,34.0,156.0
12,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,2,8.886075949367088,79,128,0.4,0.6375,0.7125,57,0.5833333333333334,0.7875,0.85,0.6775,0.5170973644185759,0.4273026639553748,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.7125,0.51875,0.7625,0.4125,0.7,0.39375,0.825,0.5875,0.75,0.478125,107.0,56.0,110.0,43.0,152.0
13,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,8.734177215189874,79,129,0.4,0.65,0.725,58,0.5916666666666667,0.7875,0.85,0.6825,0.5188942720522434,0.4252441806349671,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.725,0.525,0.7375,0.4125,0.7,0.39375,0.8375,0.575,0.7499999999999999,0.4765625,92.0,75.0,110.0,34.0,155.0
14,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,4,8.810126582278482,79,130,0.4,0.6375,0.725,58,0.5875,0.7875,0.85,0.68,0.5181710911235831,0.4272889355928536,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.725,0.51875,0.7375,0.40625,0.7,0.39375,0.8375,0.575,0.7499999999999999,0.4734375,93.0,76.0,110.0,34.0,156.0
15,Filtering,GUI_States,NO,GUI_States,None,2,1.34375,32,33,0.3,0.4,0.4,32,0.3666666666666667,0.4,0.4,0.38,0.34375,0.2814583333333333,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']",0.4,0.35,0.4,0.31875,0.4,0.35,0.4,0.33125000000000004,0.4,0.33749999999999997,245.0,284.0,252.0,239.0,398.0
16,Filtering,GUI_States,NO,GUI_States,None,3,1.6176470588235294,34,35,0.2875,0.425,0.425,34,0.3791666666666666,0.425,0.425,0.3975,0.3375,0.2743973214285714,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']",0.425,0.35624999999999996,0.425,0.33125,0.425,0.3625,0.425,0.35624999999999996,0.425,0.3515625,231.0,272.0,236.0,225.0,376.0
17,Filtering,GUI_States,NO,GUI_States,None,4,1.7222222222222223,36,38,0.3,0.45,0.45,36,0.3999999999999999,0.45,0.45,0.42,0.3504166666666667,0.2933556547619047,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']",0.45,0.375,0.45,0.34375,0.45,0.375,0.45,0.36875,0.45,0.365625,220.0,250.0,219.0,211.0,349.0
18,Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,2,5.941176470588236,17,17,0.15,0.175,0.1875,15,0.1708333333333333,0.1875,0.2,0.18,0.1650061274509803,0.1390686274509804,"['18', '19', '206', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']",0.1875,0.16249999999999998,0.2,0.15625,0.2,0.16875,0.2,0.1625,0.19687500000000002,0.1625,278.0,313.0,282.0,268.0,437.0
19,Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,3,5.9375,32,42,0.2625,0.325,0.35,28,0.3125,0.3625,0.375,0.335,0.2970128098409175,0.2470438118250444,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '1406']",0.35,0.29375,0.3875,0.30625,0.375,0.28125,0.375,0.30625,0.371875,0.296875,262.0,290.0,265.0,246.0,414.0
20,Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,4,6.0285714285714285,35,45,0.275,0.3375,0.375,30,0.3291666666666666,0.4,0.4125,0.36,0.3124775534306611,0.2578067059249921,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '1406']",0.375,0.30625,0.425,0.31875,0.4,0.30625,0.4125,0.34375,0.40312500000000007,0.31875,256.0,275.0,258.0,233.0,395.0
