bugID,filename,rank,score
53,other.de.stanetz.jpencconverter.JavaPasswordbasedCryption.java,88,0.036881942
53,net.gsantner.opoc.format.todotxt.SttCommanderTests.java,89,0.036120716
53,net.gsantner.markor.format.markdown.MarkdownHighlighterPatternItalicTest.java,90,0.036111895
53,net.gsantner.markor.format.todotxt.TodoTxtHighlighterColors.java,91,0.035630014
53,net.gsantner.opoc.ui.AudioRecordOmDialog.java,92,0.035208058
53,net.gsantner.markor.format.general.HorizontalLineBackgroundParagraphSpan.java,93,0.032669775
53,net.gsantner.opoc.preference.SharedPreferencesPropertyBackend.java,94,0.03259361
53,net.gsantner.markor.format.general.FirstLineTopPaddedParagraphSpan.java,95,0.028033942
53,net.gsantner.opoc.format.todotxt.SttTask.java,96,0.027388861
53,net.gsantner.opoc.ui.LinearSplitLayout.java,97,0.026937583
53,net.gsantner.markor.format.keyvalue.KeyValueConverter.java,98,0.026606126
53,net.gsantner.markor.model.TestPlayground.java,99,0.025359372
53,net.gsantner.markor.format.markdown.MarkdownHighlighterPatternStrikethroughTest.java,100,0.024490869
53,net.gsantner.opoc.util.PermissionChecker.java,101,0.023605546
53,net.gsantner.opoc.format.plaintext.PlainTextStuff.java,102,0.022547204
53,net.gsantner.opoc.util.NetworkUtils.java,103,0.022291727
53,net.gsantner.markor.format.general.ColorUnderlineSpan.java,104,0.022197574
53,net.gsantner.markor.format.markdown.MarkdownHighlighterPatternBoldTest.java,105,0.021647355
53,net.gsantner.opoc.util.AndroidSupportMeWrapper.java,106,0.019569896
53,net.gsantner.opoc.preference.FontPreferenceCompat.java,107,0.018295538
53,net.gsantner.opoc.format.todotxt.extension.SttTaskParserInfoExtension.java,108,0.01622761
53,net.gsantner.opoc.format.todotxt.extension.SttTaskWithParserInfo.java,109,0.015749943
53,net.gsantner.opoc.util.NanoProfiler.java,110,0.014644237
53,other.writeily.widget.WrFilesWidgetService.java,111,0.013950779
53,net.gsantner.markor.security.JavaPasswordbasedCryptionTest.java,112,0.010861848
53,net.gsantner.markor.ui.hleditor.SpanCreator.java,113,0.010417744
53,net.gsantner.opoc.preference.LanguagePreferenceCompat.java,114,0.009542203
53,net.gsantner.markor.format.general.HexColorCodeUnderlineSpan.java,115,0.008055054
53,net.gsantner.opoc.preference.MapPropertyBackend.java,116,0.005326177
53,net.gsantner.opoc.preference.PropertyBackend.java,117,0.0045422325
53,net.gsantner.opoc.util.StringUtils.java,118,0.00389399
53,net.gsantner.markor.format.todotxt.TodoTxtHighlighterPattern.java,119,0.0
53,net.gsantner.opoc.util.Callback.java,120,0.0
53,net.gsantner.markor.format.markdown.MarkdownHighlighterPattern.java,121,0.0
