Approach,Config,#Not Retrieved Bugs (Top Buggy File),#Bugs (Top Buggy File) Improved,#Bugs (Top Buggy File) Deteriorated,#Bugs (Top Buggy File) Unchanged,#Bugs (Top Buggy File) Ranks (Out10 to In10),#Bugs (Top Buggy File) (In10 to Out10),#Bugs (Top Buggy File) Inside 10 Improved,#Bugs (Top Buggy File) Inside 10 Deteriorated,#Bugs (Top Buggy File) Inside 10 Unchanged,#Bugs (Top Buggy File) Outside 10 Improved,#Bugs (Top Buggy File) Outside 10 Deteriorated,#Bugs (Top Buggy File) Outside 10 Unchanged,Bug Ids Improved
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,30,28,21,11,1,15,20,21,4,7,0,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1073', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '159', '1130', '1402', '1096', '1223', '110', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,1,30,32,17,11,1,16,23,17,3,8,0,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '227', '159', '1130', '1402', '1096', '1223', '110', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,1,28,33,18,11,1,15,24,17,2,8,1,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '227', '159', '1402', '1096', '1223', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,30,28,21,11,1,15,20,21,4,7,0,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1073', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '159', '1130', '1402', '1096', '1223', '110', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,1,30,32,17,11,1,16,23,17,3,8,0,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '227', '159', '1130', '1402', '1096', '1223', '110', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,1,28,33,18,11,1,15,24,17,2,8,1,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '227', '159', '1402', '1096', '1223', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,29,28,22,11,1,15,20,21,3,7,1,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '159', '1130', '1402', '1096', '1223', '110', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,1,30,32,17,11,1,16,23,17,3,8,0,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '227', '159', '1130', '1402', '1096', '1223', '110', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,1,28,33,18,11,1,15,24,17,2,8,1,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '227', '159', '1402', '1096', '1223', '271', '1406', '1640', '1150']"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,29,28,22,11,1,15,20,21,3,7,1,"['2', '8', '18', '53', '117', '129', '135', '206', '256', '1207', '1214', '1215', '1224', '1481', '54', '162', '192', '200', '1563', '159', '1130', '1402', '1096', '1223', '110', '271', '1406', '1640', '1150']"
